location,timestamp,month,day_of_year,temperature,relative_humidity,pressure,wind_speed,rainfall
Bengaluru,2024-09-01 12:00:00,9,245,26.8,74.0,1008.2,3.5,12.0
Bengaluru,2024-09-02 12:00:00,9,246,27.1,72.0,1007.8,3.2,8.5
Bengaluru,2024-09-03 12:00:00,9,247,26.5,78.0,1008.5,3.8,22.0
Bengaluru,2024-09-04 12:00:00,9,248,27.4,70.0,1008.0,3.1,4.0
Bengaluru,2024-09-05 12:00:00,9,249,26.9,75.0,1007.9,3.6,15.0
Bengaluru,2024-09-06 12:00:00,9,250,27.0,73.0,1008.1,3.4,10.0
Bengaluru,2024-09-07 12:00:00,9,251,26.7,76.0,1008.4,3.7,18.0
Bengaluru,2024-09-08 12:00:00,9,252,27.2,71.0,1007.7,3.3,6.0
Bengaluru,2024-09-09 12:00:00,9,253,27.5,69.0,1008.0,3.0,2.0
Bengaluru,2024-09-10 12:00:00,9,254,37.0,92.0,994.0,14.5,145.0
Bengaluru,2024-01-15 12:00:00,1,15,21.5,62.0,1018.0,3.1,0.0
Bengaluru,2024-01-16 12:00:00,1,16,21.8,60.0,1017.8,2.9,0.0
Delhi,2024-05-15 12:00:00,5,136,39.5,38.0,1001.0,4.8,0.0
Delhi,2024-05-16 12:00:00,5,137,40.2,35.0,1000.5,5.1,0.0
Delhi,2024-01-15 12:00:00,1,15,14.2,78.0,1019.5,2.8,2.0
Mumbai,2024-07-15 12:00:00,7,197,29.5,88.0,1003.5,6.2,85.0
Mumbai,2024-07-16 12:00:00,7,198,28.8,92.0,1002.0,7.1,120.0
