location,month,temperature,relative_humidity,pressure,wind_speed,rainfall
Bengaluru,1,22.49,52.4,1016.3,1.88,0.03
Bengaluru,1,21.22,65.5,1018.8,1.45,0.02
Bengaluru,1,22.8,72.7,1010.5,1.82,0.17
Bengaluru,1,24.55,66.2,1015.4,3.85,0.2
Bengaluru,1,21.03,50.9,1012.4,1.85,0.01
Bengaluru,1,21.03,57.1,1012.8,5.43,0.46
Bengaluru,1,24.66,67.6,1012.5,3.29,0.01
Bengaluru,1,23.03,55.8,1011.8,2.98,0.13
Bengaluru,1,20.56,62.7,1014.1,1.94,0.21
Bengaluru,1,22.59,64.6,1011.9,3.5,0.34
Bengaluru,1,20.57,54.4,1014.7,2.22,0.21
Bengaluru,1,20.57,59.6,1013.9,2.92,0.27
Bengaluru,1,21.98,40.6,1013.4,5.36,0.07
Bengaluru,1,17.67,53.9,1011.7,2.7,0.28
Bengaluru,1,18.05,58.5,1012.6,3.95,0.01
Bengaluru,1,20.38,52.5,1015.9,2.1,0.38
Bengaluru,1,19.47,69.8,1015.3,2.77,0.13
Bengaluru,1,22.13,51.4,1011.6,4.57,0.28
Bengaluru,1,19.68,57.4,1014.2,2.17,0.1
Bengaluru,1,18.68,60.8,1015.9,4.61,0.17
Bengaluru,1,24.43,68.6,1009.8,3.51,0.12
Bengaluru,1,21.05,51.4,1015.4,2.24,0.22
Bengaluru,1,21.64,67.0,1012.3,3.43,0.01
Bengaluru,1,18.65,60.1,1015.4,3.77,0.01
Bengaluru,1,20.41,54.1,1012.1,3.42,0.05
Bengaluru,1,21.72,62.8,1009.5,1.23,0.03
Bengaluru,1,19.2,61.2,1009.9,2.07,0.34
Bengaluru,1,22.25,56.4,1014.1,2.55,0.04
Bengaluru,1,20.3,60.4,1014.6,2.73,0.62
Bengaluru,1,20.92,57.7,1011.7,3.42,0.07
Bengaluru,1,20.3,60.7,1015.6,2.98,0.03
Bengaluru,1,25.2,64.0,1009.8,1.46,0.26
Bengaluru,1,21.47,69.5,1013.8,3.18,0.18
Bengaluru,1,19.38,52.6,1011.0,3.41,0.11
Bengaluru,1,23.15,72.8,1012.4,3.36,0.14
Bengaluru,1,19.06,48.3,1014.1,3.88,0.21
Bengaluru,1,21.92,59.1,1011.8,3.63,0.04
Bengaluru,1,17.58,63.5,1013.0,3.26,0.93
Bengaluru,1,18.84,61.7,1016.5,2.73,0.61
Bengaluru,1,21.89,56.3,1012.6,1.14,0.18
Bengaluru,1,22.98,58.8,1016.1,3.23,0.04
